No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
68,2016,1,3,20,208,208,6,102,2900,7,-2,1020.7,-3,0,ESE,0.7,Aotizhongxin
69,2016,1,3,21,208,208,4,99,3500,8,-2.7,1021.4,-3.5,0,SW,0.2,Aotizhongxin
70,2016,1,3,22,209,209,5,102,3900,8,-3.2,1021.8,-3.9,0,E,0.4,Aotizhongxin
71,2016,1,3,23,238,238,15,114,4600,9,-3.5,1022.1,-4.2,0,NW,0.1,Aotizhongxin
72,2016,1,4,0,250,250,12,111,4900,9,-3.8,1022.4,-4.1,0,SW,0.2,Aotizhongxin
73,2016,1,4,1,243,244,13,113,4800,9,-4.4,1023,-4.5,0,E,0.9,Aotizhongxin
74,2016,1,4,2,228,228,28,109,4600,10,-4.3,1023.6,-4.7,0,NNE,0.5,Aotizhongxin
75,2016,1,4,3,108,108,30,81,1800,13,0.1,1024.3,-9.4,0,N,2.9,Aotizhongxin
76,2016,1,4,4,14,14,13,27,600,NA,0.2,1024.5,-11.2,0,N,3,Aotizhongxin
77,2016,1,4,5,8,8,7,21,600,57,-0.8,1024.8,-12.4,0,N,2.1,Aotizhongxin
78,2016,1,4,6,9,9,6,24,600,56,-1.4,1025.3,-13,0,NNW,3.2,Aotizhongxin
79,2016,1,4,7,11,15,6,26,600,55,-1.7,1026.1,-13.3,0,N,4,Aotizhongxin
80,2016,1,4,8,12,23,3,30,600,50,-2.1,1027,-13.6,0,NE,2.1,Aotizhongxin
81,2016,1,4,9,12,16,4,26,600,55,-2.1,1027.6,-14.5,0,N,3.2,Aotizhongxin
82,2016,1,4,10,10,10,2,20,500,62,-1.3,1027.9,-15.2,0,NNE,3.7,Aotizhongxin
83,2016,1,4,11,9,11,2,17,500,66,-0.2,1027.5,-15.3,0,NNE,3.5,Aotizhongxin
84,2016,1,4,12,12,12,2,16,500,69,0.5,1026.5,-15.5,0,NNE,3.6,Aotizhongxin
85,2016,1,4,13,12,12,3,18,500,67,0.3,1025.7,-15.7,0,N,4.1,Aotizhongxin
86,2016,1,4,14,13,13,5,21,500,64,1,1025,-16,0,NE,3.3,Aotizhongxin
87,2016,1,4,15,14,14,4,25,500,62,1.3,1024.9,-16.1,0,NNW,1.8,Aotizhongxin
88,2016,1,4,16,15,15,5,25,500,63,1.4,1024.7,-16.5,0,N,2.2,Aotizhongxin
89,2016,1,4,17,16,18,7,31,600,57,0.8,1024.9,-17.5,0,NNW,3,Aotizhongxin
90,2016,1,4,18,19,24,9,41,700,48,0.7,1025.6,-17.6,0,NNW,3.1,Aotizhongxin
91,2016,1,4,19,19,26,11,52,800,39,-0.2,1026.1,-17.4,0,NW,2.9,Aotizhongxin
92,2016,1,4,20,20,20,8,44,700,43,-1.1,1026.6,-18.2,0,N,1.7,Aotizhongxin
93,2016,1,4,21,14,14,6,42,600,45,-2.1,1026.8,-19.1,0,NE,1.6,Aotizhongxin
94,2016,1,4,22,12,12,4,31,600,53,-2.8,1027.6,-19.2,0,N,2.4,Aotizhongxin
95,2016,1,4,23,11,11,4,30,600,51,-3.5,1027.5,-19,0,NNE,2,Aotizhongxin
96,2016,1,5,0,13,13,2,29,500,50,-3.9,1027.7,-19.4,0,N,2,Aotizhongxin
97,2016,1,5,1,10,10,2,26,500,51,-3.8,1027.4,-19.7,0,NNE,3,Aotizhongxin
98,2016,1,5,2,7,7,2,25,500,49,-4.3,1027.5,-20.1,0,N,4.4,Aotizhongxin
99,2016,1,5,3,6,8,2,20,500,51,-4.9,1027.6,-19.8,0,NE,2.7,Aotizhongxin
100,2016,1,5,4,7,7,2,22,500,47,-4.9,1027.1,-20.2,0,N,3.7,Aotizhongxin
101,2016,1,5,5,8,8,2,22,500,47,-5.8,1027,-20.6,0,NE,2.3,Aotizhongxin
102,2016,1,5,6,7,7,2,22,500,46,-6,1027.2,-20.4,0,NNE,3.5,Aotizhongxin
103,2016,1,5,7,8,9,4,44,600,26,-5.9,1027.3,-20.7,0,N,3.9,Aotizhongxin
104,2016,1,5,8,14,14,4,47,700,24,-6.7,1027.6,-20.7,0,N,2.2,Aotizhongxin
105,2016,1,5,9,14,21,7,35,800,36,-5.2,1028.1,-20.1,0,NNW,2.5,Aotizhongxin
106,2016,1,5,10,15,23,7,29,800,43,-3.6,1027.8,-20.4,0,NNW,2.2,Aotizhongxin
107,2016,1,5,11,17,20,3,21,800,52,-2.1,1027.4,-20,0,NW,2.2,Aotizhongxin
108,2016,1,5,12,14,14,2,17,700,59,-1.1,1026.1,-19.7,0,WNW,2.4,Aotizhongxin
109,2016,1,5,13,14,14,2,22,700,56,0,1024.8,-19.8,0,W,1.5,Aotizhongxin
110,2016,1,5,14,13,13,2,24,700,59,0.3,1024,-19.5,0,NW,1.9,Aotizhongxin
111,2016,1,5,15,15,15,2,33,700,53,1.4,1023.6,-19.2,0,SSW,1.8,Aotizhongxin
112,2016,1,5,16,32,49,9,58,1100,34,1,1023.5,-17.9,0,SSW,1.1,Aotizhongxin
113,2016,1,5,17,54,87,17,80,1400,16,-0.5,1023.6,-16.4,0,WSW,2.2,Aotizhongxin
114,2016,1,5,18,58,90,19,86,1400,10,-1.4,1024.1,-15.3,0,WSW,2,Aotizhongxin
115,2016,1,5,19,72,106,19,97,1700,7,-2.1,1024.6,-14.9,0,W,2.3,Aotizhongxin
116,2016,1,5,20,84,115,19,94,1800,7,-1.9,1025.2,-14.7,0,WSW,2.4,Aotizhongxin
117,2016,1,5,21,89,126,20,90,2100,7,-2.7,1025.4,-14.5,0,W,1.3,Aotizhongxin
118,2016,1,5,22,89,122,21,90,2400,7,-5.2,1025.8,-13.5,0,NE,0.8,Aotizhongxin
119,2016,1,5,23,88,111,16,87,2500,7,-6.4,1025.9,-12.7,0,E,0.7,Aotizhongxin
120,2016,1,6,0,64,72,17,83,1900,6,-6.5,1025.8,-13.2,0,NE,1.7,Aotizhongxin
121,2016,1,6,1,61,83,19,84,2200,6,-6.2,1025.6,-13.1,0,NE,1.1,Aotizhongxin
122,2016,1,6,2,46,46,16,75,1500,8,-5.5,1025.8,-15.6,0,NNE,0.9,Aotizhongxin
123,2016,1,6,3,35,35,10,61,1200,12,-6.2,1025.7,-15.2,0,NE,0.2,Aotizhongxin
124,2016,1,6,4,29,29,7,48,900,NA,-7,1025.6,-15.2,0,NNE,0.5,Aotizhongxin
125,2016,1,6,5,18,18,6,48,800,27,-7.9,1025.7,-15.4,0,NNE,0.5,Aotizhongxin
126,2016,1,6,6,14,14,5,53,800,21,-8.1,1026,-15.6,0,NE,0.3,Aotizhongxin
127,2016,1,6,7,18,27,5,72,1000,5,-8.6,1026.6,-15.6,0,NE,0.9,Aotizhongxin
128,2016,1,6,8,29,43,25,74,1700,6,-8,1027.3,-15.5,0,ENE,1,Aotizhongxin
129,2016,1,6,9,42,64,37,70,1900,11,-3.7,1028,-14.8,0,ENE,1.4,Aotizhongxin
130,2016,1,6,10,42,63,32,58,1600,22,-1.3,1028.1,-15.2,0,NNW,2.3,Aotizhongxin
131,2016,1,6,11,24,34,16,27,900,47,0.6,1028,-16.7,0,NNW,2.8,Aotizhongxin
132,2016,1,6,12,17,38,9,21,700,57,1.6,1026.7,-17.9,0,NNW,4.2,Aotizhongxin
133,2016,1,6,13,12,25,6,16,500,64,2.1,1025.7,-18.6,0,NW,4,Aotizhongxin
134,2016,1,6,14,11,20,6,15,500,67,2.3,1025,-18.4,0,NW,4.3,Aotizhongxin
135,2016,1,6,15,13,24,5,15,500,69,2.7,1025.2,-18.1,0,WNW,4.7,Aotizhongxin
136,2016,1,6,16,11,30,6,21,400,64,2.3,1025.6,-17.8,0,WNW,4.4,Aotizhongxin
137,2016,1,6,17,12,36,6,25,500,60,1,1026.3,-18.4,0,NW,4.7,Aotizhongxin
138,2016,1,6,18,9,41,6,30,500,56,0.3,1027.2,-17.5,0,WNW,4.2,Aotizhongxin
139,2016,1,6,19,16,36,9,40,700,46,-0.2,1028.1,-17,0,NW,2.6,Aotizhongxin
140,2016,1,6,20,16,30,7,36,700,47,-1.3,1028.4,-17.5,0,NNE,3.3,Aotizhongxin
141,2016,1,6,21,13,38,7,29,600,50,-2.4,1029,-18.1,0,NNW,4.1,Aotizhongxin
142,2016,1,6,22,11,28,7,27,500,51,-2.9,1029.4,-18.5,0,NNW,3.7,Aotizhongxin
143,2016,1,6,23,10,29,7,26,400,50,-3.6,1030.6,-18.7,0,NNW,2.3,Aotizhongxin
144,2016,1,7,0,8,34,8,31,500,42,-4.3,1030.9,-18.2,0,NNW,3.6,Aotizhongxin
145,2016,1,7,1,8,38,9,30,500,42,-4.5,1031.1,-17.7,0,N,2.5,Aotizhongxin
146,2016,1,7,2,9,42,7,26,400,46,-4.5,1031.1,-17.7,0,N,3,Aotizhongxin
147,2016,1,7,3,11,25,6,26,400,46,-5.1,1031,-17.6,0,NNW,3,Aotizhongxin
148,2016,1,7,4,10,12,6,24,400,47,-5.3,1030.7,-17.4,0,N,3.3,Aotizhongxin
149,2016,1,7,5,10,11,8,21,500,49,-5.8,1030.2,-18.2,0,NNW,3.1,Aotizhongxin
150,2016,1,7,6,10,11,6,23,500,47,-6.1,1029.9,-18.5,0,NNW,2.5,Aotizhongxin
151,2016,1,7,7,10,13,7,26,500,44,-5.8,1030,-18.5,0,NNW,3.6,Aotizhongxin
152,2016,1,7,8,12,19,7,34,600,38,-6,1030.3,-18.4,0,NNW,3.7,Aotizhongxin
153,2016,1,7,9,8,22,5,26,600,45,-5.2,1030.2,-18.3,0,NNW,3.8,Aotizhongxin
154,2016,1,7,10,14,26,7,20,600,51,-4.1,1029.8,-17.7,0,N,4.1,Aotizhongxin
155,2016,1,7,11,10,42,4,13,500,58,-2.8,1028.9,-17.6,0,N,3.5,Aotizhongxin
156,2016,1,7,12,10,29,3,12,500,62,-1.6,1027.5,-17.4,0,N,4.1,Aotizhongxin
157,2016,1,7,13,11,19,4,13,500,63,-0.8,1026.2,-17.5,0,NNW,3.5,Aotizhongxin
158,2016,1,7,14,10,15,4,13,500,65,0.1,1025.2,-17.6,0,NW,4.2,Aotizhongxin
159,2016,1,7,15,10,15,6,17,500,63,0.5,1024.6,-17.8,0,WNW,3.9,Aotizhongxin
160,2016,1,7,16,11,16,5,17,400,66,0.6,1024.6,-17.7,0,WNW,3.5,Aotizhongxin
161,2016,1,7,17,7,14,5,21,400,62,-0.7,1024.6,-17.9,0,WNW,4.1,Aotizhongxin
162,2016,1,7,18,11,20,8,38,600,46,-0.9,1024.5,-17.2,0,WNW,4.4,Aotizhongxin
163,2016,1,7,19,17,23,11,48,700,37,-1.6,1024.5,-17,0,WNW,3.2,Aotizhongxin
164,2016,1,7,20,19,27,13,55,900,31,-1.9,1024.6,-16.4,0,NNW,2.7,Aotizhongxin
165,2016,1,7,21,24,34,15,54,900,30,-2.7,1024.4,-16.8,0,NNW,1.9,Aotizhongxin
166,2016,1,7,22,19,26,16,48,700,34,-2.8,1024.4,-16.9,0,NNW,3.2,Aotizhongxin
167,2016,1,7,23,17,23,14,37,700,43,-3.2,1024.5,-16.5,0,NNW,2.4,Aotizhongxin
168,2016,1,8,0,19,22,13,35,700,43,-3.5,1024.1,-17.1,0,N,2,Aotizhongxin
169,2016,1,8,1,16,22,12,33,700,43,-3.1,1023.7,-16.8,0,NNW,1.9,Aotizhongxin
170,2016,1,8,2,14,29,11,29,600,46,-3.3,1024,-16.6,0,N,3.6,Aotizhongxin
171,2016,1,8,3,12,22,9,22,500,51,-3.5,1023.8,-16.8,0,N,2.2,Aotizhongxin
172,2016,1,8,4,10,22,7,20,400,NA,-3.3,1023.5,-17,0,NNW,2.6,Aotizhongxin
173,2016,1,8,5,8,39,8,21,400,49,-3.8,1023.6,-17.8,0,N,3,Aotizhongxin
174,2016,1,8,6,8,17,8,24,500,46,-4.5,1023.9,-17.7,0,NNE,3.1,Aotizhongxin
175,2016,1,8,7,12,28,9,27,500,44,-7,1024.6,-17.8,0,ENE,1.9,Aotizhongxin
176,2016,1,8,8,10,29,12,35,600,37,-7.7,1025.3,-17.6,0,ENE,1.1,Aotizhongxin
177,2016,1,8,9,15,37,15,43,800,32,-6,1026,-17.7,0,NE,2.2,Aotizhongxin
178,2016,1,8,10,23,49,12,51,1000,28,-4,1026.1,-17.6,0,NE,2.5,Aotizhongxin
179,2016,1,8,11,18,31,11,33,800,45,-2,1025.5,-17.3,0,NNE,3,Aotizhongxin
180,2016,1,8,12,11,15,7,17,500,60,-0.9,1024.8,-17.6,0,NE,2.7,Aotizhongxin
181,2016,1,8,13,7,9,5,14,500,66,-0.2,1023.7,-17.4,0,ENE,2.8,Aotizhongxin
182,2016,1,8,14,8,10,6,16,500,65,1.2,1022.8,-17.7,0,NNE,2.4,Aotizhongxin
183,2016,1,8,15,10,11,8,16,500,67,1,1022.6,-17.9,0,ENE,1.8,Aotizhongxin
184,2016,1,8,16,14,14,8,18,400,66,1,1022.6,-18.4,0,ESE,1.4,Aotizhongxin
185,2016,1,8,17,13,19,10,27,500,59,-0.7,1022.5,-17,0,E,1.4,Aotizhongxin
186,2016,1,8,18,15,39,11,59,1000,29,-3.1,1022.8,-15.8,0,E,0.7,Aotizhongxin
187,2016,1,8,19,48,89,24,99,1500,8,-4.1,1022.9,-14,0,WSW,0.9,Aotizhongxin
188,2016,1,8,20,93,126,32,113,2000,7,-3.1,1022.8,-14.8,0,WSW,1.6,Aotizhongxin
189,2016,1,8,21,110,137,34,113,2300,7,-2,1022.6,-14.8,0,WSW,2,Aotizhongxin
190,2016,1,8,22,123,151,37,112,2400,7,-4.2,1022.4,-12.4,0,W,1.2,Aotizhongxin
191,2016,1,8,23,126,144,39,110,2600,7,-4.7,1022.4,-12.8,0,W,1.1,Aotizhongxin
192,2016,1,9,0,117,133,38,104,2200,7,-5.6,1022.3,-13,0,E,0.4,Aotizhongxin
193,2016,1,9,1,120,135,34,103,2300,6,-6.2,1022,-12.1,0,SW,0.4,Aotizhongxin
194,2016,1,9,2,121,158,28,101,3100,6,-5.6,1022.3,-12.8,0,NE,1.6,Aotizhongxin
195,2016,1,9,3,80,81,32,88,2500,8,-6.5,1022.2,-13.2,0,E,0.7,Aotizhongxin
196,2016,1,9,4,55,55,25,75,1700,9,-8.1,1021.8,-13.3,0,ENE,0.9,Aotizhongxin
197,2016,1,9,5,39,39,21,76,1700,6,-9,1021.5,-14.8,0,E,0.6,Aotizhongxin
198,2016,1,9,6,32,32,16,70,1500,8,-8.9,1021.3,-15.1,0,NE,0.8,Aotizhongxin
199,2016,1,9,7,15,15,10,53,900,21,-7.8,1021.4,-16.2,0,ENE,0.9,Aotizhongxin
200,2016,1,9,8,15,15,8,51,800,24,-9.3,1021.6,-16.3,0,E,0.6,Aotizhongxin
201,2016,1,9,9,16,22,9,52,1000,24,-6.1,1022.2,-16.1,0,ENE,1.3,Aotizhongxin
202,2016,1,9,10,28,42,17,62,1400,19,-4,1022.3,-15.3,0,ENE,2,Aotizhongxin
203,2016,1,9,11,42,48,18,60,1500,26,-1.5,1021.8,-15,0,SE,0.7,Aotizhongxin
204,2016,1,9,12,43,56,20,59,1500,30,1.1,1020.7,-14.2,0,NNE,0.7,Aotizhongxin
205,2016,1,9,13,46,50,29,55,1400,37,2.3,1019.6,-14.4,0,NNE,0.8,Aotizhongxin
206,2016,1,9,14,52,59,32,64,1400,34,3.6,1019,-15.1,0,WSW,0.7,Aotizhongxin
207,2016,1,9,15,54,59,27,79,1500,24,4.6,1019,-14.8,0,SW,1.2,Aotizhongxin
208,2016,1,9,16,41,45,17,77,1100,29,4,1019.1,-15.9,0,SSW,1.5,Aotizhongxin
209,2016,1,9,17,48,81,26,99,1400,17,2.6,1019.5,-15.5,0,SW,1.1,Aotizhongxin
210,2016,1,9,18,58,106,24,109,1700,7,0.7,1019.8,-13,0,SW,1.3,Aotizhongxin
211,2016,1,9,19,88,136,30,123,2300,6,0,1020.2,-13.7,0,WSW,1.8,Aotizhongxin
212,2016,1,9,20,115,149,36,125,2400,7,0.6,1020.8,-13.9,0,W,1.8,Aotizhongxin
213,2016,1,9,21,129,158,41,127,2700,7,-3.6,1021.1,-12.3,0,WSW,0.7,Aotizhongxin
214,2016,1,9,22,148,171,41,130,3100,8,-4.6,1021.4,-11.6,0,E,0.9,Aotizhongxin
215,2016,1,9,23,130,163,38,115,3200,8,-4.6,1021.8,-11.8,0,E,0.5,Aotizhongxin
216,2016,1,10,0,74,74,32,89,1800,8,-4.1,1021.9,-13.2,0,NE,1.1,Aotizhongxin
217,2016,1,10,1,85,100,46,93,2900,9,-5.4,1022.2,-12,0,E,0.7,Aotizhongxin
218,2016,1,10,2,82,86,29,86,2600,9,-5.8,1022.8,-12.3,0,NNE,1,Aotizhongxin
219,2016,1,10,3,46,46,17,70,1400,9,-3.6,1023.1,-14.4,0,NNE,1.5,Aotizhongxin
220,2016,1,10,4,29,29,10,55,1100,NA,-4.4,1023,-14.6,0,NE,0.6,Aotizhongxin
221,2016,1,10,5,25,25,6,39,900,32,-5.2,1023.4,-15.9,0,ENE,1.2,Aotizhongxin
222,2016,1,10,6,20,22,7,49,900,29,-7.1,1024,-15.1,0,NE,1,Aotizhongxin
223,2016,1,10,7,22,30,9,62,900,19,-8,1025.1,-14.8,0,ENE,1.2,Aotizhongxin
224,2016,1,10,8,22,34,10,63,900,19,-7.4,1025.9,-15.1,0,NNE,1.3,Aotizhongxin
225,2016,1,10,9,24,37,12,61,1000,22,-4.1,1026.9,-13.8,0,ENE,1.4,Aotizhongxin
226,2016,1,10,10,26,39,11,50,1000,34,-1.9,1027.6,-16.1,0,E,2,Aotizhongxin
227,2016,1,10,11,25,32,8,44,800,44,-0.9,1027.5,-16.3,0,ESE,1.7,Aotizhongxin
228,2016,1,10,12,28,29,10,41,900,51,0,1026.7,-16.8,0,ESE,1.8,Aotizhongxin
229,2016,1,10,13,30,32,13,43,1000,50,0,1026,-16.4,0,ESE,1.7,Aotizhongxin
230,2016,1,10,14,34,40,17,54,1200,43,0.4,1025.6,-16.5,0,ESE,2.1,Aotizhongxin
231,2016,1,10,15,58,86,32,80,2300,26,0.2,1025.8,-15.8,0,S,1.5,Aotizhongxin
232,2016,1,10,16,57,89,30,82,2100,25,-0.4,1026.4,-15.9,0,SE,1.5,Aotizhongxin
233,2016,1,10,17,69,113,33,90,2300,18,-0.9,1027.5,-15.9,0,ESE,1.6,Aotizhongxin
234,2016,1,10,18,66,108,28,97,2300,9,-0.8,1028.3,-15.5,0,SE,1,Aotizhongxin
235,2016,1,10,19,61,89,29,96,2300,7,-3.3,1029,-14.7,0,E,1.3,Aotizhongxin
236,2016,1,10,20,64,99,32,96,2700,8,-4.7,1030,-15.1,0,NW,0.1,Aotizhongxin
237,2016,1,10,21,65,105,25,90,2600,13,-3,1030.8,-15,0,NNE,2.2,Aotizhongxin
238,2016,1,10,22,20,36,2,39,900,46,-3.5,1031.4,-20.3,0,NNE,2.4,Aotizhongxin
239,2016,1,10,23,16,25,2,37,800,45,-4.7,1031.7,-20.5,0,NE,1.9,Aotizhongxin
240,2016,1,11,0,17,26,2,45,800,38,-7.1,1032.1,-22.2,0,NE,1.8,Aotizhongxin
241,2016,1,11,1,13,31,2,26,700,52,-5.2,1032.4,-19.4,0,NNE,2.1,Aotizhongxin
242,2016,1,11,2,12,28,2,23,600,52,-5.8,1032.9,-18.8,0,NE,1.9,Aotizhongxin
243,2016,1,11,3,10,32,2,25,700,51,-5.6,1032.8,-18.7,0,N,2.2,Aotizhongxin
244,2016,1,11,4,10,26,2,24,600,50,-6,1032.3,-19.4,0,NNW,4.2,Aotizhongxin
245,2016,1,11,5,8,31,2,20,600,55,-7.8,1032.6,-20.3,0,NNW,3.4,Aotizhongxin
246,2016,1,11,6,6,23,2,21,600,55,-8.5,1032.8,-21.6,0,N,4,Aotizhongxin
247,2016,1,11,7,7,18,2,27,600,49,-8.4,1033.3,-20.5,0,NE,2,Aotizhongxin
248,2016,1,11,8,11,18,2,30,700,46,-9.4,1033.2,-21.4,0,N,2.2,Aotizhongxin
249,2016,1,11,9,13,31,2,30,800,46,-8.5,1034.1,-20.9,0,NE,2.5,Aotizhongxin
